Team,Last_Form_Pts,Last_Goals_Scored_Avg,Last_Goals_Conceded_Avg,Last_Over25_Rate,Last_BTTS_Rate
Luton,5.0,1.6,2.0,0.6,0.8
Lyon,8.0,1.2,1.2,0.4,0.4
M'gladbach,3.0,1.6,3.0,1.0,0.4
MLS All-Stars,3.0,4.0,3.0,1.0,1.0
Macará,9.0,1.6,1.6,0.6,0.6
Magdeburg,9.0,2.0,1.6,0.8,0.4
Mainz,7.0,1.8,1.2,0.6,0.4
Malaga,3.0,0.4,1.6,0.2,0.4
Mallorca,10.0,1.4,0.4,0.2,0.0
Man City,12.0,1.8,0.8,0.6,0.6
Man United,7.0,2.0,1.4,0.6,0.4
Mansfield,4.0,1.2,2.0,0.6,0.4
Manta F.C.,4.0,1.2,2.0,0.4,0.4
Mantova,10.0,1.6,1.6,0.6,0.6
Maritimo,4.0,1.2,2.2,1.0,0.8
Marseille,6.0,1.8,1.4,0.6,0.4
Mechelen,2.0,1.0,2.4,0.6,0.4
Metz,6.0,1.2,0.8,0.2,0.6
Middlesbrough,10.0,2.0,1.4,0.6,0.8
Milan,8.0,1.6,1.2,0.6,0.8
Millonarios,6.0,1.2,1.2,0.4,0.8
Millwall,6.0,1.8,2.2,1.0,0.4
Milton Keynes Dons,4.0,1.2,1.6,0.4,0.8
Minnesota United FC,4.0,3.0,3.0,1.0,1.0
Mirandes,4.0,1.4,1.8,0.6,0.6
Mirassol,6.0,1.2,1.4,0.4,0.8
Modena,7.0,1.2,0.8,0.4,0.4
Monaco,10.0,2.0,1.4,0.4,0.6
Monterrey,7.0,1.8,1.2,0.4,0.4
Montevideo City Torque,15.0,2.8,0.8,0.8,0.8
Montevideo Wanderers,5.0,1.2,1.8,0.4,0.6
Montpellier,10.0,0.8,0.6,0.2,0.2
Monza,2.0,1.6,2.6,0.8,1.0
Moreirense,6.0,1.0,2.2,0.8,0.4
Morton,1.0,0.8,2.2,0.6,0.8
Motherwell,8.0,1.6,1.0,0.6,0.4
Mushuc Runa,6.0,0.6,0.8,0.2,0.4
NAC Breda,5.0,1.2,1.6,0.2,0.4
Nacional,8.0,1.0,1.0,0.2,0.4
Nancy,6.0,0.8,0.8,0.2,0.2
Nantes,4.0,1.4,2.2,0.6,0.6
Napoli,9.0,1.4,1.0,0.4,0.4
Nashville SC,8.0,2.0,1.2,0.8,0.6
Necaxa,2.0,0.8,1.6,0.4,0.8
New England Revolution,10.0,1.8,1.2,0.8,1.0
New York City FC,6.0,1.0,0.8,0.2,0.6
Newcastle,5.0,1.4,2.0,0.6,0.6
Newell's Old Boys,9.0,1.2,0.6,0.2,0.6
Newport County,2.0,1.4,2.2,0.6,0.8
Nice,3.0,0.2,1.0,0.2,0.2
Nijmegen,7.0,2.0,2.0,1.0,0.8
Nimes,4.0,1.3,1.7,0.5,
Northampton,5.0,0.6,1.0,0.0,0.4
Norwich,9.0,2.4,1.6,0.8,0.8
Nott'm Forest,6.0,1.0,1.0,0.4,0.6
Notts County,6.0,1.2,1.2,0.4,0.8
Novorizontino,13.0,2.6,1.0,0.8,1.0
Nurnberg,13.0,3.0,1.2,1.0,0.8
Náutico,10.0,1.2,0.8,0.4,0.6
O'Higgins,4.0,1.2,1.6,0.6,0.6
OFI Crete,12.0,1.8,0.6,0.4,0.4
Oldham,4.0,1.2,1.4,0.6,0.6
Olympiakos,8.0,0.8,0.6,0.0,0.4
Once Caldas,5.0,1.0,1.4,0.4,0.8
Operário PR,8.0,1.2,0.6,0.4,0.4
Orense,3.0,1.2,2.2,0.8,0.6
Orlando City SC,13.0,2.4,1.2,0.8,0.6
Osasuna,7.0,1.0,1.6,0.4,0.4
Osnabruck,6.0,1.6,2.2,0.8,0.6
Oud-Heverlee Leuven,1.0,0.4,2.0,0.6,0.4
Oviedo,8.0,0.8,0.2,0.2,0.0
Oxford,10.0,2.4,1.2,1.0,0.6
PAOK,10.0,2.2,1.2,0.8,0.6
PSV Eindhoven,15.0,4.0,1.0,1.0,1.0
Pachuca,8.0,1.8,1.0,0.4,0.6
Paderborn,5.0,0.8,1.2,0.4,0.2
Padova,10.0,1.6,1.4,0.4,0.6
Palermo,10.0,1.6,1.2,0.4,0.6
Palestino,9.0,2.0,1.4,0.6,0.6
Palmeiras,8.0,1.8,1.0,0.4,0.6
Panathinaikos,13.0,2.6,0.8,0.8,0.6
Panetolikos,9.0,1.6,1.2,0.6,0.4
Panserraikos,2.0,0.6,2.2,0.4,0.6
Paris FC,11.0,1.6,0.6,0.6,0.4
Paris SG,5.0,1.4,1.6,0.8,0.8
Parma,4.0,0.6,1.2,0.2,0.4
Partick,11.0,1.0,0.2,0.0,0.2
Pau FC,5.0,0.8,1.0,0.2,0.4
Pescara,3.0,1.0,1.4,0.4,0.8
Peterboro,5.0,0.8,1.6,0.6,0.6
Peñarol,10.0,1.8,0.6,0.6,0.4
Philadelphia Union,13.0,3.2,0.4,0.6,0.4
Pisa,6.0,1.4,1.6,0.8,0.6
Platense,5.0,1.0,1.2,0.4,0.8
Plymouth,10.0,1.8,1.0,0.4,0.4
Ponte Preta,0.0,0.0,2.8,0.2,0.0
Port Vale,5.0,0.6,1.0,0.2,0.4
Portland Timbers,5.0,2.0,2.2,0.8,1.0
Porto,15.0,2.6,0.4,0.6,0.4
Portsmouth,7.0,1.2,1.0,0.4,0.4
Preston,3.0,0.8,1.6,0.6,0.6
PreuÃen MÃ¼nster,2.0,1.4,2.8,0.8,0.8
Progreso,6.0,0.6,1.2,0.2,0.2
Puebla,9.0,1.75,1.5,0.5,0.5
Pumas UNAM,5.0,0.8,1.4,0.4,0.4
QPR,8.0,1.0,0.8,0.4,0.6
Queen of Sth,7.0,1.0,1.4,0.5,
Queens Park,4.0,0.6,1.4,0.4,0.4
Querétaro,10.0,1.6,1.0,0.6,0.6
RAAL La Louviere,4.0,1.2,2.0,0.8,0.4
RB Leipzig,9.0,2.4,1.6,1.0,0.6
Racing (Montevideo),10.0,1.2,0.6,0.2,0.2
Racing Club,1.0,0.8,1.8,0.6,0.8
